category,users_view,users_add,users_purchase,cr_view_add,cr_add_purchase,cr_view_purchase,dropoff_view_add,dropoff_add_purchase
Автомобили,2376,1069,267,44.99,24.98,11.24,55.01,75.02
Сад,2569,1235,296,48.07,23.97,11.52,51.93,76.03
Игрушки,2719,1194,322,43.91,26.97,11.84,56.09,73.03
Бытовая техника,2524,1183,299,46.87,25.27,11.85,53.13,74.73
Офисные товары,2794,1324,332,47.39,25.08,11.88,52.61,74.92
Инструменты,2740,1350,326,49.27,24.15,11.9,50.73,75.85
Товары для животных,3068,1514,369,49.35,24.37,12.03,50.65,75.63
Промышленные товары,2543,1212,308,47.66,25.41,12.11,52.34,74.59
Книги,2718,1324,330,48.71,24.92,12.14,51.29,75.08
Мебель,2444,1156,299,47.3,25.87,12.23,52.7,74.13
Музыкальные инструменты,2418,1134,303,46.9,26.72,12.53,53.1,73.28
Дом и кухня,2624,1228,332,46.8,27.04,12.65,53.2,72.96
Обувь,3135,1554,397,49.57,25.55,12.66,50.43,74.45
Продукты,2393,1128,303,47.14,26.86,12.66,52.86,73.14
Электроника,2936,1475,374,50.24,25.36,12.74,49.76,74.64
Спорт,2559,1268,326,49.55,25.71,12.74,50.45,74.29
Искусство и ремесла,2535,1239,326,48.88,26.31,12.86,51.12,73.69
Детские товары,3174,1584,411,49.91,25.95,12.95,50.09,74.05
Одежда,3078,1533,399,49.81,26.03,12.96,50.19,73.97
Компьютеры,2917,1424,379,48.82,26.62,12.99,51.18,73.38
Здоровье и красота,2842,1447,379,50.91,26.19,13.34,49.09,73.81
Ювелирные изделия,3265,1656,452,50.72,27.29,13.84,49.28,72.71
