customer_city,user_view,user_add,user_purchase,cr_view_add,cr_add_purchase,cr_view_purchase,dropoff_view_add,dropoff_add_purchase
Воронеж,380,356,149,93.68,41.85,39.21,6.32,58.15
Тольятти,341,317,134,92.96,42.27,39.3,7.04,57.73
Тюмень,364,344,144,94.51,41.86,39.56,5.49,58.14
Санкт-Петербург,370,338,147,91.35,43.49,39.73,8.65,56.51
Краснодар,357,337,144,94.4,42.73,40.34,5.6,57.27
Казань,376,359,153,95.48,42.62,40.69,4.52,57.38
Пермь,339,321,139,94.69,43.3,41.0,5.31,56.7
Волгоград,368,347,151,94.29,43.52,41.03,5.71,56.48
Москва,356,338,149,94.94,44.08,41.85,5.06,55.92
Уфа,368,349,154,94.84,44.13,41.85,5.16,55.87
Саратов,344,320,144,93.02,45.0,41.86,6.98,55.0
Екатеринбург,367,351,162,95.64,46.15,44.14,4.36,53.85
Омск,370,348,166,94.05,47.7,44.86,5.95,52.3
Ижевск,386,367,174,95.08,47.41,45.08,4.92,52.59
Новосибирск,336,317,152,94.35,47.95,45.24,5.65,52.05
Самара,391,363,177,92.84,48.76,45.27,7.16,51.24
Нижний Новгород,381,358,173,93.96,48.32,45.41,6.04,51.68
Челябинск,378,354,173,93.65,48.87,45.77,6.35,51.13
Красноярск,386,360,185,93.26,51.39,47.93,6.74,48.61
Ростов-на-Дону,367,349,177,95.1,50.72,48.23,4.9,49.28
unknown,74,73,40,98.65,54.79,54.05,1.35,45.21
